Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-12 09:15:00+05:30,2738.0,2744.0,2738.0,2744.0,0,0.0,0.0
2024-08-12 09:16:00+05:30,2743.550048828125,2743.550048828125,2739.800048828125,2740.0,7934,0.0,0.0
2024-08-12 09:17:00+05:30,2740.85009765625,2744.0,2739.35009765625,2742.0,4174,0.0,0.0
2024-08-12 09:18:00+05:30,2742.0,2744.550048828125,2741.60009765625,2742.39990234375,3188,0.0,0.0
2024-08-12 09:19:00+05:30,2741.25,2741.300048828125,2738.5,2738.5,3626,0.0,0.0
2024-08-12 09:20:00+05:30,2737.25,2737.25,2735.60009765625,2736.050048828125,2303,0.0,0.0
2024-08-12 09:21:00+05:30,2735.64990234375,2736.449951171875,2733.14990234375,2735.0,5346,0.0,0.0
2024-08-12 09:22:00+05:30,2735.050048828125,2736.449951171875,2733.5,2736.25,1542,0.0,0.0
2024-08-12 09:23:00+05:30,2736.449951171875,2737.0,2735.35009765625,2735.64990234375,2743,0.0,0.0
2024-08-12 09:24:00+05:30,2735.550048828125,2735.550048828125,2733.14990234375,2733.14990234375,4920,0.0,0.0
2024-08-12 09:25:00+05:30,2734.89990234375,2735.35009765625,2734.0,2735.35009765625,3719,0.0,0.0
2024-08-12 09:26:00+05:30,2734.949951171875,2737.449951171875,2734.949951171875,2736.85009765625,3665,0.0,0.0
2024-08-12 09:27:00+05:30,2736.85009765625,2737.10009765625,2736.0,2736.75,868,0.0,0.0
2024-08-12 09:28:00+05:30,2736.050048828125,2736.050048828125,2734.0,2734.0,4902,0.0,0.0
2024-08-12 09:29:00+05:30,2733.75,2733.75,2732.050048828125,2732.050048828125,1860,0.0,0.0
2024-08-12 09:30:00+05:30,2732.449951171875,2735.14990234375,2732.300048828125,2735.14990234375,1353,0.0,0.0
2024-08-12 09:31:00+05:30,2734.5,2735.14990234375,2734.5,2735.14990234375,1058,0.0,0.0
2024-08-12 09:33:00+05:30,2733.5,2735.050048828125,2732.14990234375,2735.050048828125,8857,0.0,0.0
2024-08-12 09:34:00+05:30,2735.0,2736.449951171875,2735.0,2735.14990234375,2267,0.0,0.0
2024-08-12 09:35:00+05:30,2735.39990234375,2736.449951171875,2735.39990234375,2736.35009765625,1676,0.0,0.0
2024-08-12 09:36:00+05:30,2736.699951171875,2736.699951171875,2735.050048828125,2736.35009765625,1884,0.0,0.0
2024-08-12 09:37:00+05:30,2737.10009765625,2737.10009765625,2735.10009765625,2735.10009765625,3608,0.0,0.0
2024-08-12 09:38:00+05:30,2734.85009765625,2734.85009765625,2734.0,2734.10009765625,633,0.0,0.0
2024-08-12 09:39:00+05:30,2734.0,2734.10009765625,2733.39990234375,2733.39990234375,1371,0.0,0.0
2024-08-12 09:40:00+05:30,2733.199951171875,2733.449951171875,2732.300048828125,2733.10009765625,341,0.0,0.0
2024-08-12 09:41:00+05:30,2734.10009765625,2734.699951171875,2733.10009765625,2734.050048828125,897,0.0,0.0
2024-08-12 09:42:00+05:30,2734.14990234375,2734.14990234375,2733.0,2733.64990234375,1252,0.0,0.0
2024-08-12 09:43:00+05:30,2733.60009765625,2734.14990234375,2733.050048828125,2734.14990234375,383,0.0,0.0
2024-08-12 09:44:00+05:30,2734.10009765625,2734.10009765625,2733.300048828125,2734.0,639,0.0,0.0
2024-08-12 09:45:00+05:30,2733.0,2733.300048828125,2730.5,2730.89990234375,2161,0.0,0.0
2024-08-12 09:46:00+05:30,2730.0,2731.75,2730.0,2731.75,2125,0.0,0.0
2024-08-12 09:47:00+05:30,2731.75,2731.89990234375,2731.14990234375,2731.199951171875,322,0.0,0.0
2024-08-12 09:48:00+05:30,2731.5,2731.550048828125,2729.0,2729.0,2699,0.0,0.0
2024-08-12 09:49:00+05:30,2729.25,2729.550048828125,2728.60009765625,2728.60009765625,2522,0.0,0.0
2024-08-12 09:50:00+05:30,2729.300048828125,2731.0,2728.800048828125,2729.949951171875,1016,0.0,0.0
2024-08-12 09:51:00+05:30,2729.60009765625,2729.949951171875,2729.60009765625,2729.699951171875,537,0.0,0.0
2024-08-12 09:52:00+05:30,2729.949951171875,2729.949951171875,2728.949951171875,2729.60009765625,507,0.0,0.0
2024-08-12 09:53:00+05:30,2729.60009765625,2729.699951171875,2729.550048828125,2729.699951171875,657,0.0,0.0
2024-08-12 09:54:00+05:30,2728.800048828125,2729.699951171875,2727.699951171875,2727.699951171875,1704,0.0,0.0
2024-08-12 09:55:00+05:30,2727.75,2727.75,2725.64990234375,2726.64990234375,5213,0.0,0.0
