Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-12 09:15:00+05:30,24310.0,24317.75,24150.0,24150.0,0,0.0,0.0
2024-08-12 09:16:00+05:30,24152.80078125,24179.900390625,24142.400390625,24150.0,832,0.0,0.0
2024-08-12 09:17:00+05:30,24135.05078125,24165.599609375,24020.650390625,24042.0,1055,0.0,0.0
2024-08-12 09:18:00+05:30,24031.099609375,24144.75,24031.099609375,24144.5,515,0.0,0.0
2024-08-12 09:19:00+05:30,24144.75,24144.75,24100.0,24100.0,378,0.0,0.0
2024-08-12 09:20:00+05:30,24114.94921875,24179.400390625,24100.0,24135.94921875,186,0.0,0.0
2024-08-12 09:21:00+05:30,24146.30078125,24156.94921875,24112.650390625,24156.0,283,0.0,0.0
2024-08-12 09:22:00+05:30,24178.94921875,24178.94921875,24135.05078125,24150.0,353,0.0,0.0
2024-08-12 09:23:00+05:30,24157.30078125,24192.400390625,24157.30078125,24192.400390625,375,0.0,0.0
2024-08-12 09:24:00+05:30,24157.599609375,24190.5,24140.0,24140.0,236,0.0,0.0
2024-08-12 09:25:00+05:30,24186.849609375,24198.900390625,24170.0,24170.0,206,0.0,0.0
2024-08-12 09:26:00+05:30,24177.400390625,24190.0,24170.0,24190.0,88,0.0,0.0
2024-08-12 09:27:00+05:30,24183.69921875,24197.80078125,24170.0,24171.94921875,80,0.0,0.0
2024-08-12 09:28:00+05:30,24191.94921875,24200.0,24170.0,24200.0,153,0.0,0.0
2024-08-12 09:29:00+05:30,24208.0,24219.099609375,24180.0,24180.0,31,0.0,0.0
2024-08-12 09:30:00+05:30,24182.44921875,24212.0,24182.44921875,24212.0,138,0.0,0.0
2024-08-12 09:31:00+05:30,24227.30078125,24229.5,24201.349609375,24201.349609375,97,0.0,0.0
2024-08-12 09:33:00+05:30,24200.400390625,24212.94921875,24200.0,24200.0,250,0.0,0.0
2024-08-12 09:34:00+05:30,24200.05078125,24247.80078125,24200.05078125,24218.599609375,163,0.0,0.0
2024-08-12 09:35:00+05:30,24213.75,24220.44921875,24200.0,24200.05078125,82,0.0,0.0
2024-08-12 09:36:00+05:30,24200.0,24214.599609375,24200.0,24214.599609375,38,0.0,0.0
2024-08-12 09:37:00+05:30,24236.30078125,24243.30078125,24214.05078125,24226.80078125,181,0.0,0.0
2024-08-12 09:38:00+05:30,24200.19921875,24212.94921875,24200.19921875,24212.349609375,31,0.0,0.0
2024-08-12 09:39:00+05:30,24212.55078125,24212.94921875,24200.0,24212.19921875,45,0.0,0.0
2024-08-12 09:40:00+05:30,24227.150390625,24227.150390625,24200.0,24215.599609375,96,0.0,0.0
2024-08-12 09:41:00+05:30,24215.599609375,24215.599609375,24200.0,24200.0,23,0.0,0.0
2024-08-12 09:42:00+05:30,24206.55078125,24211.44921875,24200.0,24210.44921875,391,0.0,0.0
2024-08-12 09:43:00+05:30,24200.0,24209.5,24200.0,24200.0,230,0.0,0.0
2024-08-12 09:44:00+05:30,24200.0,24204.94921875,24200.0,24200.0,55,0.0,0.0
2024-08-12 09:45:00+05:30,24200.0,24202.400390625,24200.0,24200.0,805,0.0,0.0
2024-08-12 09:46:00+05:30,24200.0,24200.0,24200.0,24200.0,2312,0.0,0.0
2024-08-12 09:47:00+05:30,24200.0,24200.05078125,24082.55078125,24090.69921875,1220,0.0,0.0
2024-08-12 09:48:00+05:30,24090.69921875,24098.900390625,24090.69921875,24097.900390625,39,0.0,0.0
2024-08-12 09:49:00+05:30,24134.19921875,24150.0,24125.44921875,24150.0,134,0.0,0.0
2024-08-12 09:50:00+05:30,24136.150390625,24141.849609375,24125.0,24125.0,11,0.0,0.0
2024-08-12 09:51:00+05:30,24119.150390625,24157.44921875,24119.150390625,24141.150390625,555,0.0,0.0
2024-08-12 09:52:00+05:30,24126.55078125,24127.44921875,24120.0,24127.44921875,192,0.0,0.0
2024-08-12 09:53:00+05:30,24132.19921875,24132.19921875,24120.0,24120.05078125,280,0.0,0.0
2024-08-12 09:54:00+05:30,24120.0,24120.05078125,24120.0,24120.0,154,0.0,0.0
2024-08-12 09:55:00+05:30,24120.05078125,24121.94921875,24120.0,24120.0,692,0.0,0.0
2024-08-12 09:56:00+05:30,24124.80078125,24124.80078125,24085.0,24085.0,449,0.0,0.0
2024-08-12 09:57:00+05:30,24100.0,24120.0,24100.0,24100.05078125,305,0.0,0.0
2024-08-12 09:58:00+05:30,24100.0,24112.099609375,24100.0,24100.0,57,0.0,0.0
2024-08-12 09:59:00+05:30,24100.0,24112.75,24100.0,24103.400390625,193,0.0,0.0
2024-08-12 10:00:00+05:30,24122.0,24134.19921875,24122.0,24134.19921875,217,0.0,0.0
2024-08-12 10:01:00+05:30,24120.05078125,24128.69921875,24120.05078125,24126.75,0,0.0,0.0
